Phase,Duration (s),Start,End,Gapped
C,17,2026-02-25T03:06:11+13:00[Pacific/Auckland],2026-02-25T03:06:28+13:00[Pacific/Auckland],Yes
<A>,213,2026-02-25T03:06:28+13:00[Pacific/Auckland],2026-02-25T03:10:01+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T03:10:01+13:00[Pacific/Auckland],2026-02-25T03:10:14+13:00[Pacific/Auckland],Yes
<A>,130,2026-02-25T03:10:14+13:00[Pacific/Auckland],2026-02-25T03:12:24+13:00[Pacific/Auckland],
B,16,2026-02-25T03:12:24+13:00[Pacific/Auckland],2026-02-25T03:12:40+13:00[Pacific/Auckland],Yes
<A>,111,2026-02-25T03:12:40+13:00[Pacific/Auckland],2026-02-25T03:14:31+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T03:14:31+13:00[Pacific/Auckland],2026-02-25T03:14:44+13:00[Pacific/Auckland],Yes
<A>,20,2026-02-25T03:14:44+13:00[Pacific/Auckland],2026-02-25T03:15:04+13:00[Pacific/Auckland],Yes
D,17,2026-02-25T03:15:04+13:00[Pacific/Auckland],2026-02-25T03:15:21+13:00[Pacific/Auckland],Yes
<A>,64,2026-02-25T03:15:21+13:00[Pacific/Auckland],2026-02-25T03:16:25+13:00[Pacific/Auckland],
B,16,2026-02-25T03:16:25+13:00[Pacific/Auckland],2026-02-25T03:16:41+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T03:16:41+13:00[Pacific/Auckland],2026-02-25T03:16:58+13:00[Pacific/Auckland],Yes
<A>,45,2026-02-25T03:16:58+13:00[Pacific/Auckland],2026-02-25T03:17:43+13:00[Pacific/Auckland],Yes
C,15,2026-02-25T03:17:43+13:00[Pacific/Auckland],2026-02-25T03:17:58+13:00[Pacific/Auckland],Yes
<A>,41,2026-02-25T03:17:58+13:00[Pacific/Auckland],2026-02-25T03:18:39+13:00[Pacific/Auckland],
B,16,2026-02-25T03:18:39+13:00[Pacific/Auckland],2026-02-25T03:18:55+13:00[Pacific/Auckland],Yes
<A>,151,2026-02-25T03:18:55+13:00[Pacific/Auckland],2026-02-25T03:21:26+13:00[Pacific/Auckland],
B,16,2026-02-25T03:21:26+13:00[Pacific/Auckland],2026-02-25T03:21:42+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T03:21:42+13:00[Pacific/Auckland],2026-02-25T03:21:59+13:00[Pacific/Auckland],Yes
<A>,335,2026-02-25T03:21:59+13:00[Pacific/Auckland],2026-02-25T03:27:34+13:00[Pacific/Auckland],
B,16,2026-02-25T03:27:34+13:00[Pacific/Auckland],2026-02-25T03:27:50+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T03:27:50+13:00[Pacific/Auckland],2026-02-25T03:28:07+13:00[Pacific/Auckland],Yes
<A>,108,2026-02-25T03:28:07+13:00[Pacific/Auckland],2026-02-25T03:29:55+13:00[Pacific/Auckland],Yes
D,18,2026-02-25T03:29:55+13:00[Pacific/Auckland],2026-02-25T03:30:13+13:00[Pacific/Auckland],Yes
<A>,277,2026-02-25T03:30:13+13:00[Pacific/Auckland],2026-02-25T03:34:50+13:00[Pacific/Auckland],
B,16,2026-02-25T03:34:50+13:00[Pacific/Auckland],2026-02-25T03:35:06+13:00[Pacific/Auckland],Yes
<A>,269,2026-02-25T03:35:06+13:00[Pacific/Auckland],2026-02-25T03:39:35+13:00[Pacific/Auckland],
B,16,2026-02-25T03:39:35+13:00[Pacific/Auckland],2026-02-25T03:39:51+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T03:39:51+13:00[Pacific/Auckland],2026-02-25T03:40:08+13:00[Pacific/Auckland],Yes
<A>,115,2026-02-25T03:40:08+13:00[Pacific/Auckland],2026-02-25T03:42:03+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T03:42:03+13:00[Pacific/Auckland],2026-02-25T03:42:16+13:00[Pacific/Auckland],Yes
<A>,164,2026-02-25T03:42:16+13:00[Pacific/Auckland],2026-02-25T03:45:00+13:00[Pacific/Auckland],
B,16,2026-02-25T03:45:00+13:00[Pacific/Auckland],2026-02-25T03:45:16+13:00[Pacific/Auckland],Yes
D,16,2026-02-25T03:45:16+13:00[Pacific/Auckland],2026-02-25T03:45:32+13:00[Pacific/Auckland],Yes
<A>,173,2026-02-25T03:45:32+13:00[Pacific/Auckland],2026-02-25T03:48:25+13:00[Pacific/Auckland],
